model,policy,AURC
gnb,margin,0.02767
gnb,top1,0.09519
knn,top1,0.13318
rf,top1,0.13432
et,top1,0.14789
cat,top1,0.16299
ext3,top1,0.17116
rf,margin,0.18786
ridge,top1,0.18815
xgb,margin,0.19183
lgb,margin,0.19207
lgb,top1,0.19297
linSVC,top1,0.19642
xgb,top1,0.1972
ext3,margin,0.1973
et,margin,0.19778
cat,margin,0.19805
knn,margin,0.20049
mlp,top1,0.22599
logistic,top1,0.23271
svc,top1,0.2334
mlp,margin,0.24566
svc,margin,0.26731
linSVC,margin,0.29745
ridge,margin,0.29758
logistic,margin,0.30138
sgd,top1,0.32852
sgd,margin,0.37802
