model,base_acc%,base_macro_f1%,base_qwk,prauc_c0%,rec90_c0%,prauc_c2%,rec90_c2%,ext_cov%,ext_macro_f1%(ext)
tabpfn,65.47,63.85,0.62,70.19,15.41,80.73,34.87,74.58,76.79
cat,63.34,62.58,0.579,70.21,17.52,78.3,28.39,66.23,76.48
ext3,63.28,61.94,0.591,69.49,16.62,79.42,28.77,57.72,79.93
svc,62.96,61.79,0.563,60.96,0.6,72.75,0.0,64.43,76.0
rf,62.85,61.67,0.573,69.4,16.62,78.88,28.52,65.68,75.92
xgb,62.03,61.33,0.562,69.75,15.71,78.71,27.02,62.9,76.44
lgb,61.27,60.89,0.566,69.28,22.05,79.09,33.62,62.58,76.39
et,61.92,60.74,0.553,67.74,16.31,78.61,27.27,62.41,75.73
knn,60.77,60.0,0.544,66.62,15.41,78.6,31.38,65.03,74.83
mlp,60.12,59.46,0.534,60.7,7.25,75.27,24.16,64.76,73.74
logistic,57.28,56.61,0.516,63.17,3.32,69.01,9.34,67.48,72.67
ridge,56.46,55.62,0.52,62.34,1.51,69.01,7.35,73.16,72.13
linSVC,56.52,55.48,0.503,62.27,1.51,69.31,6.6,72.67,71.43
sgd,50.52,49.58,0.406,48.85,0.0,64.56,6.97,62.47,65.64
gnb,52.92,42.04,0.453,52.68,0.0,59.99,0.0,99.84,62.95
