model,coverage,policy,threshold,acc%,macro_f1%,qwk
logistic,40.0,top1,0.5957,68.49,60.48,0.726
logistic,60.0,top1,0.5407,62.45,59.25,0.625
logistic,80.0,top1,0.4964,60.1,58.96,0.565
logistic,40.0,margin,0.26,68.54,63.65,0.723
logistic,60.0,margin,0.16,62.3,60.49,0.624
logistic,80.0,margin,0.08,59.88,58.98,0.567
ridge,40.0,top1,0.5589,68.21,57.12,0.725
ridge,60.0,top1,0.5128,63.09,56.64,0.638
ridge,80.0,top1,0.4762,59.62,57.11,0.567
ridge,40.0,margin,0.2,68.35,60.8,0.728
ridge,60.0,margin,0.12,62.1,58.89,0.636
ridge,80.0,margin,0.06,59.69,57.91,0.585
rf,40.0,top1,0.637,81.45,80.19,0.809
rf,60.0,top1,0.56,73.14,71.46,0.704
rf,80.0,top1,0.5017,67.01,65.9,0.624
rf,40.0,margin,0.34,81.49,80.21,0.807
rf,60.0,margin,0.2,73.38,71.76,0.716
rf,80.0,margin,0.1,67.06,65.66,0.627
et,40.0,top1,0.6837,78.73,77.56,0.761
et,60.0,top1,0.5825,70.87,69.83,0.677
et,80.0,top1,0.5088,66.31,65.36,0.614
et,40.0,margin,0.44,79.2,77.8,0.768
et,60.0,margin,0.24,70.85,69.78,0.674
et,80.0,margin,0.12,66.97,65.91,0.626
svc,40.0,top1,0.6658,77.35,72.93,0.783
svc,60.0,top1,0.5999,72.0,70.18,0.712
svc,80.0,top1,0.5253,66.98,65.92,0.635
svc,40.0,margin,0.4,77.44,74.82,0.79
svc,60.0,margin,0.28,71.36,69.71,0.712
svc,80.0,margin,0.14,67.12,65.82,0.64
linSVC,40.0,top1,0.5664,68.89,59.71,0.709
linSVC,60.0,top1,0.5179,62.82,57.09,0.62
linSVC,80.0,top1,0.4805,59.89,57.47,0.56
linSVC,40.0,margin,0.22,67.76,61.07,0.703
linSVC,60.0,margin,0.14,62.84,59.11,0.63
linSVC,80.0,margin,0.06,59.65,57.76,0.57
sgd,40.0,top1,0.6293,57.84,48.9,0.388
sgd,60.0,top1,0.5683,57.09,54.86,0.456
sgd,80.0,top1,0.5133,54.5,53.67,0.456
sgd,40.0,margin,0.3,57.31,49.3,0.399
sgd,60.0,margin,0.2,55.57,53.26,0.451
sgd,80.0,margin,0.1,54.11,53.01,0.454
knn,40.0,top1,0.6288,81.86,79.76,0.8
knn,60.0,top1,0.5567,70.73,69.25,0.668
knn,80.0,top1,0.4962,64.8,64.43,0.59
knn,40.0,margin,0.32,81.33,79.49,0.79
knn,60.0,margin,0.2,70.63,69.08,0.672
knn,80.0,margin,0.1,64.05,63.09,0.581
gnb,40.0,top1,1.0,61.26,48.17,0.624
gnb,60.0,top1,0.9996,56.91,45.13,0.537
gnb,80.0,top1,0.9892,55.25,44.15,0.505
gnb,40.0,margin,0.5,53.32,42.29,0.46
gnb,60.0,margin,0.5,53.32,42.29,0.46
gnb,80.0,margin,0.5,53.32,42.29,0.46
lgb,40.0,top1,0.8355,80.35,79.17,0.805
lgb,60.0,top1,0.7086,71.82,70.94,0.708
lgb,80.0,top1,0.5921,66.85,66.3,0.639
lgb,40.0,margin,0.5,72.35,71.37,0.714
lgb,60.0,margin,0.44,71.53,70.66,0.702
lgb,80.0,margin,0.22,66.8,66.19,0.642
xgb,40.0,top1,0.8296,80.63,79.13,0.789
xgb,60.0,top1,0.7088,71.55,70.48,0.698
xgb,80.0,top1,0.5899,65.83,65.26,0.629
xgb,40.0,margin,0.5,73.43,72.13,0.721
xgb,60.0,margin,0.44,71.36,70.4,0.697
xgb,80.0,margin,0.22,65.97,65.36,0.629
cat,40.0,top1,0.6889,80.49,78.9,0.812
cat,60.0,top1,0.5963,72.18,71.45,0.713
cat,80.0,top1,0.5232,67.39,66.82,0.641
cat,40.0,margin,0.42,79.84,78.37,0.803
cat,60.0,margin,0.26,72.01,70.91,0.714
cat,80.0,margin,0.12,66.87,66.16,0.639
mlp,40.0,top1,0.729,73.26,71.24,0.712
mlp,60.0,top1,0.6352,67.73,65.76,0.63
mlp,80.0,top1,0.5519,62.89,61.46,0.568
mlp,40.0,margin,0.5,74.03,72.0,0.719
mlp,60.0,margin,0.32,67.42,65.39,0.627
mlp,80.0,margin,0.16,62.79,61.45,0.573
ext3,40.0,top1,0.6917,80.63,79.29,0.799
ext3,60.0,top1,0.6104,72.45,71.2,0.714
ext3,80.0,top1,0.5385,66.98,65.75,0.643
ext3,40.0,margin,0.46,80.46,79.24,0.797
ext3,60.0,margin,0.28,71.94,70.7,0.712
ext3,80.0,margin,0.14,67.08,66.01,0.644
