feature,importance
age,3081
历史最高持仓金额,2885
open_length,2790
基民收益率-全持有期,1954
行为增益收益率-全持有期,1906
行为增益收益率-2022年以来,1417
city,1377
年末总人口,1296
all_return,1285
hold_shr,1264
hold_return,1228
人均地区生产总值,1154
hold_amt_cny,1041
Return,986
gdp_per_pct,899
分红率,865
行为增益收益率-2023年以来,826
基民收益率-23年以来,797
行为增益收益率-2024年以来,788
基金净值增长率-全持有期,715
0收益天数占比,676
负收益天数占比,638
人口自然增长率(‰),626
职工平均工资,615
基民收益率-24年以来,597
dret120,563
fsy_start,561
dret60,556
maxdd120,554
下行波动率,552
maxdd60,545
dret10,542
正收益天数占比,539
最大回撤,531
province,522
where60,511
波动率,482
std10,473
突破前高的次数,410
职工平均工资pct,405
where120,403
maxdd10,379
sex_cmp,349
std120,343
std60,332
zsy_start,327
持有天数,282
基金净值增长率-2024年以来,265
buy_pct,229
基金费率,218
